"filename", "language", "PHP", "JSON", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\Provider.php", "PHP", 29, 0, 0, 0, 0, 0, 4, 9, 42
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\TypeUser.php", "PHP", 15, 0, 0, 0, 0, 0, 5, 6, 26
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\User.php", "PHP", 41, 0, 0, 0, 0, 0, 19, 13, 73
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\UserInfo.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 5, 27
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\View\Components\AppLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\View\Components\GuestLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\bootstrap\app.php", "PHP", 14, 0, 0, 0, 0, 0, 2, 3, 19
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\bootstrap\providers.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\composer.json", "JSON", 0, 73, 0, 0, 0, 0, 0, 1, 74
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\composer.lock", "JSON", 0, 8341, 0, 0, 0, 0, 0, 1, 8342
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 82, 23, 127
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 74, 14, 116
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\config\cache.php", "PHP", 57, 0, 0, 0, 0, 0, 34, 18, 109
